Province,State,State Code,Latitude,Longitude,Tests,Days Since 1st Case,Total cases (4/14/2020),Deaths (4/14/2020),Population (for demographic %'s),% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,Population Density per Square mile of Land (2010),Housing Density Per Square Mile of Land,Avg Daily March 2011 Sunlight (KJ/m²) Missing HI and AK,GDP 2018,GDP/capita,"Percentage Living in Poverty, All Ages, 2016","Air Quality, Annual Average Ambient Concentrations of PM2.5, 2014",Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,High School Graduation Rate,% Some College,% Unemployed,% Children in Poverty,Income Inequality Ratio (80th%/20th%),% Single-Parent Households,Social Association Rate,Violent Crime Rate,Air pollution: Average Daily PM2.5,Presence of Drinking Water Violation,% Severe Housing Problems,Housing: Severe Cost Burden,Housing: Overcrowding,Housing: Inadequate Facilities,% Drive Alone to Work,% Long Commute - Drives Alone,Sleep <7 Hours_Percent,Sleep <7 Hours_CI_Low,Sleep <7 Hours_CI_High,Diabetes Total Percentage,Diabetes Male Percentage,Diabetes Female Percentage,"Coronary Heart Disease Death Rate per 100,000, All Ages, All Races/Ethnicities, Both Genders, 2014-2016","Hypertension Death Rate per 100,000 (any mention), 35+, All Races/Ethnicities, Both Genders, 2014-2016","Obesity, Age-Adjusted Percentage, 20+. 2015",% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Smokers (adults),% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Uninsured,Preventable Hospitalization Rate (Preventable hospital stays),% With Annual Mammogram,% Flu Vaccinated,Chronic Respiratory Disease: mortality rate per 100K (2014),Liver Disease: crude mortality rate per 100K (1999-2018),Liver Disease: % of Total Deaths (1999-2018),Liver Disease: crude mortality rate per 100K (2018),Liver Disease: % of Total Deaths (2018),Avg Temp Peak Growth-10 Rate,Avg Temp 10 Before First-Current,Avg Temp First-Current,First Case,Stay At Home,No Cases,No Stay At Home Order,Stay At Home Order After First Case
Autauga,Alabama,AL,32.53953,-86.6441,"33,835",22,23,1,55601,23.6740346,15.5626697,19.3431773,0.48020719,1.22479812,0.11150879,2.965774,74.308016,0.8202245,51.448715,42.0021623,91.8,37.2,18449.72,"1,483,414",,13.5,11.7,2220:01:00,3089:01:00,4277:01:00,90,62.0099737,3.62907886,19.3,5.23459727,26.2426791,12.0712021,272.28222,11.7,No,14.6634615,12.8267183,1.20192308,1.34615385,86.5236614,39.6,35.9054061,34.9739356,36.8482271,9.9,10.1,9.8,112.7,241.4,37.6,20.8829873,4.74388887,4.6540314,8.61952862,18.0815572,33.3,7.2,34.7,69.1301241,15.0260313,8.72168595,7108,41,41,81.79,15.8056008,0.00019062,Unreliable,0.00017883,20.52857143,19.95,19.34545455,3/24/20,4/4/20,0,0,1
Baldwin,Alabama,AL,30.72775,-87.7221,"33,835",31,87,2,218022,21.6079111,20.4433498,8.78397593,0.77239912,1.15034263,0.067,4.64677877,83.1113374,0.54351698,51.5383769,42.2790991,114.6,65.5,18855.39,"5,774,289",,11.7,10.3,1372:01:00,2019:01:00,1038:01:00,86.3615768,67.3716198,3.61538216,13.9,4.41776668,24.1396015,10.2056173,203.660396,10.3,No,13.5662009,12.277388,1.27079175,0.47904192,84.2824327,41.7,33.3058681,32.4883765,34.0777925,8.5,8.8,8.4,108,171.5,31.3,17.5091344,4.2245192,4.30405647,8.34500318,17.4890326,31,8,26.5,73.713549,17.9583101,11.3334045,4041,43,44,54.28,19.8027477,0.00081863,27.5201585,0.001073,22.06538462,20.87317073,21.8,3/15/20,4/4/20,0,0,1
Barbour,Alabama,AL,31.86826,-85.3871,"33,835",12,11,0,24881,20.8673285,19.4204413,48.0326353,0.6591375,0.45416181,0.18488003,4.27635545,45.6412524,1.63168252,47.2167517,67.7896347,31,13.4,18611.37,"787,425",,29.9,11.5,3159:01:00,2765:01:00,12441:1,81.4102564,34.8576486,5.17138421,43.9,5.68141002,56.603426,7.51879699,414.277861,11.5,No,14.5833333,13.445946,1.68859649,0.60307018,83.3684704,32.2,38.5631671,37.6954408,39.5008894,15.7,16.1,15.4,63,192.5,44.7,29.5918017,5.43027886,5.18559441,11.4745587,21.9999845,41.7,5.6,23.5,53.1667699,12.8440156,12.2427925,6209,45,37,69.82,12.9148204,8.30E-05,NA,NA,18.47272727,18.08181818,17.025,4/3/20,4/4/20,0,0,1
Bibb,Alabama,AL,32.99642,-87.1251,"33,835",16,17,0,22400,20.4776786,16.4732143,21.1205357,0.4375,0.23660714,0.11607143,2.625,74.5892857,0.26821005,46.78125,68.3526075,36.8,14.4,18234.91,"364,197",,20.1,11.2,2061:01:00,4480:01:00,4480:01:00,83.7638376,44.1373534,3.97182773,27.8,4.36858051,28.6892361,8.38185989,89.349126,11.2,No,10.4964539,9.97827661,0.25531915,0.70921986,84.9106469,49.8,38.1488654,37.1308661,39.1944363,13.3,14.5,12.2,63.8,142.2,37.9,19.4397242,4.59148244,4.55169885,10.30871,19.1141999,37.6,7.8,33.5,16.2513637,15.5700424,10.2062526,5961,40,38,84.49,13.5578514,7.02E-05,NA,NA,18.35384615,17.67692308,16.025,3/30/20,4/4/20,0,0,1
Blount,Alabama,AL,33.98211,-86.5679,"33,835",21,16,0,57840,23.153527,18.2365145,1.4626556,0.65352697,0.31984786,0.12102351,9.57123098,86.8862379,1.72451994,50.7261411,89.951502,88.9,37,17239.34,"849,114",,14.1,11.7,4463:01:00,5258:01:00,6427:01:00,93.4687954,53.3610733,3.51115732,18,4.43026233,28.561828,8.44638271,482.690611,11.7,No,10.5480116,7.85144566,1.8913676,1.09117362,86.178362,59.4,35.9450104,34.7792639,37.0725976,14.9,17,12.9,96.5,97.4,34.6,21.7452928,4.86080763,4.89145467,7.60456274,19.208672,33.8,8.4,30.3,15.6344859,14.2305938,13.3607595,4060,34,39,87.05,14.2776454,0.00018594,NA,NA,18.195,17.77741935,17.47142857,3/25/20,4/4/20,0,0,1
Bullock,Alabama,AL,32.10031,-85.7127,"33,835",20,8,0,10138,21.0791083,16.3839022,69.5403433,0.83842967,0.18741369,0.74965476,7.96014993,21.2172026,0.44075441,45.4823437,51.3743815,17.5,7.2,18713.82,"244,183",,32.6,11.2,3436:01:00,5069:01:00,5069:01:00,70.2479339,34.9760942,4.69011725,68.3,7.41019599,74.789916,7.76020953,311.027333,11.2,No,18.1434599,15.2104499,0.11251758,3.09423347,79.0609137,46,45.0206359,43.9035119,46.1942267,22.4,22.1,22.6,72.7,279,39.3,30.9991019,5.35915934,4.89135104,15.6884876,22.894664,37.2,4.3,24.6,2.50137438,12.0941012,11.4403761,6632,35,28,51.49,14.676812,3.74E-05,NA,NA,20.28333333,19.76,18.88,3/26/20,4/4/20,0,0,1
Butler,Alabama,AL,31.753,-86.6806,"33,835",21,8,0,19680,22.245935,20.2997968,44.5579268,0.37601626,1.31605691,0.0508,1.50914634,51.2550813,0.49415515,53.4298781,71.2321574,27,12.8,18838.24,"570,686",,24.8,10.6,3965:01:00,3280:01:00,1968:01:00,81.5899582,41.6787565,4.79021764,36.3,5.42359558,52.7128364,9.07944515,581.584005,10.6,Yes,13.1596091,11.6923077,1.69381108,0.39087948,83.8331832,32.3,41.9110839,40.9727211,42.8833724,16.9,17.7,16.4,108,323.2,40.9,27.9106732,5.4008062,5.3407502,12.6802885,21.765335,43.3,6.6,39.5,48.5797489,11.8574034,11.1860095,9203,42,35,75.09,18.6383815,9.00E-05,NA,NA,18.38571429,19.85483871,19.14761905,3/25/20,4/4/20,0,0,1
Calhoun,Alabama,AL,33.77484,-85.8263,"33,835",28,62,0,114277,21.6097728,17.717476,20.8502148,0.53991617,0.96432353,0.11025841,3.91067319,72.0249919,0.99137613,51.9465859,33.6968256,195.7,88,17372.81,"3,950,436",,17.1,11.8,1572:01:00,1706:01:00,866:01:00,92.3680457,59.2439886,4.65283216,26.5,5.02389645,40.1919448,14.469005,756.066544,11.8,No,13.7341913,11.8249325,1.54204571,0.8431329,84.8092137,31.2,41.314344,40.4621946,42.1407375,15.6,16.7,14.7,138.9,56.7,37.3,23.1077332,4.88037674,4.81607229,9.16137367,20.6125604,38.5,6.9,31.7,47.7212158,13.8422302,11.9291675,6581,32,38,87.32,21.0550718,0.00056719,33.2525355,0.00067957,17.95,16.19736842,16.46428571,3/18/20,4/4/20,0,0,1
Chambers,Alabama,AL,32.9136,-85.3907,"33,835",27,216,10,33615,20.800238,19.5210472,39.5656701,0.30641083,1.32678864,0.0446,2.56135654,55.2312956,0.11293763,52.1255392,49.1480345,57.4,28.5,18293.61,"1,941,217",,19.9,11.4,2408:01:00,5603:01:00,16808:1,86.2385321,48.460334,3.90809112,30.7,4.74493214,46.5554437,17.7972889,528.999736,11.4,No,15.9566787,12.3770795,4.03610108,0.93862816,85.252848,31.8,37.2665748,36.386735,38.2440596,17.5,18.3,16.7,72.5,298.9,40.8,23.9954736,4.94117836,4.87358077,12.2137405,19.3929271,40.1,6.4,30.1,61.8646792,12.7457346,11.9380768,5622,38,42,84,27.5759056,0.00022454,NA,NA,19.49583333,18.5,18.37037037,3/19/20,4/4/20,0,0,1
Cherokee,Alabama,AL,34.17806,-85.6064,"33,835",21,9,0,26032,19.1687154,22.9717271,4.24093424,0.66072526,0.33804548,0.0307,1.62108175,91.6564229,0.40163901,50.4609711,85.736273,46.9,29.4,16656.25,"498,013",,16.8,11.4,2586:01:00,6508:01:00,5206:01:00,94.9044586,51.8362101,3.57081397,24.7,4.70846503,23.7787493,8.5083343,330.438792,11.4,No,13,11.1520737,1.5,0.5,83.1144659,46.1,35.3550708,34.1050258,36.540064,12.2,13.7,10.7,110.9,109.6,36.9,20.6984706,4.7756141,4.71127042,8.27250608,17.4986738,35,8.3,31.3,33.4295279,14.1065629,11.1726499,5521,36,41,93.04,22.8807675,0.00013566,NA,NA,15.11176471,14.66774194,14.92857143,3/25/20,4/4/20,0,0,1
Chilton,Alabama,AL,32.85044,-86.7173,"33,835",21,33,0,44153,23.7605599,16.7848164,9.96761262,0.56621294,0.48694313,0.17439359,7.92698118,80.1395149,1.88761752,50.925192,86.7447242,63,27.8,18369.94,"837,887",,18.3,11.2,4896:01:00,3396:01:00,1920:01:00,88.2059801,39.9055696,3.60957075,23.3,5.10766795,34.8850466,15.204121,507.810721,11.2,No,13.2972323,10.6606061,2.88808664,0.81227437,83.5648283,50.3,35.1745693,34.1788095,36.2328883,16.8,18.6,15.3,119.4,92.7,35.3,21.1854629,4.7733823,4.85324414,8.69791667,20.1889791,37.7,8.1,33.2,46.2937928,14.5093746,13.7597059,6148,39,42,88.02,18.2104636,0.00018127,Unreliable,0.00023248,18.47368421,17.98064516,17.58571429,3/25/20,4/4/20,0,0,1
Choctaw,Alabama,AL,32.02227,-88.2656,"33,835",20,12,0,12841,19.9906549,22.9966514,41.5154583,0.18690133,0.17911378,0,1.04353244,56.3896893,0.41115769,52.7295382,100,15.2,8,18460.04,"547,773",,22.7,10.1,2589:01:00,2140:01:00,NA,78.6324786,58.008658,5.53898594,32.1,5.86009572,48.06231,19.3124759,128.414663,10.1,Yes,11.0611511,8.83977901,1.34892086,1.25899281,82.1463178,44,38.2911743,37.3323932,39.1996703,13.9,14.1,13.7,160.6,166.8,41.7,24.8635313,4.93320463,4.98788248,11.018711,18.7932483,41.3,6.4,36.2,28.9342665,11.6422906,11.3420787,4968,40,34,60.19,19.0069234,6.32E-05,NA,NA,19.74375,19.52,18.875,3/26/20,4/4/20,0,0,1
Clarke,Alabama,AL,31.681,-87.8355,"33,835",13,21,0,23920,21.7182274,19.8704013,44.3269231,0.52675585,0.43478261,0.0209,1.36287625,52.5083612,0.13030448,52.6421405,75.9803352,20.9,10.2,18736.77,"784,519",,29,10.4,1853:01:00,3417:01:00,1407:01:00,90.9090909,38.2299601,7.47344959,31.7,8.46898263,37.0127436,16.1939958,475.312436,10.4,No,12.0355835,11.131747,1.50706436,0.47095761,88.2852969,35,40.8447797,39.9087966,41.7480183,20.1,21.1,19.3,132.1,183.5,40,25.2350848,5.12733724,5.08373673,13.1080389,20.5796553,34.1,5.4,34.6,25.2700035,11.8690105,11.9263663,6299,38,28,69.3,12.6700863,7.72E-05,NA,NA,20.88,19.65652174,18.16153846,4/2/20,4/4/20,0,0,1
Clay,Alabama,AL,33.26984,-85.8584,"33,835",21,14,0,13275,20.2485876,20.7231638,13.8305085,0.54237288,0.24105461,0,3.01318267,80.527307,0.401322,51.0960452,100,23.1,11.2,18131.45,"339,246",,18.9,10.6,2673:01:00,6638:01:00,6638:01:00,89.8089172,35.3230337,3.90742915,25.8,5.07925861,30.0393842,10.4735543,309.067213,10.6,Yes,11.1835974,8.31439394,0.91332712,2.23671948,89.9023402,37.3,38.5405249,37.4002555,39.6421441,11.2,12.5,10,143.1,80.4,38.2,23.7959174,4.95896953,4.98292768,9.35613682,19.6203542,40.6,7.8,32.6,63.7812231,13.2865037,13.8833381,5249,35,43,76.28,19.0891246,6.20E-05,NA,NA,18.09444444,17.39354839,16.85714286,3/25/20,4/4/20,0,0,1
Cleburne,Alabama,AL,33.67679,-85.5201,"33,835",21,12,0,14987,22.7663976,19.4501902,2.86915327,0.49376126,0.22019083,0.0734,2.4821512,92.7937546,0.7083658,50.4837526,100,26.7,12,17429.52,"294,019",,17.2,11,3725:01:00,NA,2498:01:00,98.0295567,45.0141643,4.24865053,22.9,4.77568008,24.549483,8.05369128,103.333333,11,No,12.9391602,10.7329843,1.71379606,1.45672665,81.363212,55.5,33.5047847,32.2128232,34.7431551,10.4,11.6,9.4,96.3,69.7,34.9,19.2844078,4.54670039,4.86721546,8.52090032,18.3744658,37.3,8,31.3,41.4841037,14.4629665,13.3445237,6416,26,34,92.84,17.0290447,5.85E-05,NA,NA,17.01052632,16.3483871,16.21904762,3/25/20,4/4/20,0,0,1
Coffee,Alabama,AL,31.39933,-85.989,"33,835",20,36,0,51909,23.656784,16.9546707,17.1877709,1.41016009,1.63555453,0.39684833,7.5805737,69.8549385,1.38017044,50.8351153,47.1950829,73.6,32.9,19000.67,"1,470,262",,14.4,10.9,1853:01:00,2884:01:00,1527:01:00,92.5170068,63.7709624,3.94869578,21.9,4.65877263,35.8318855,14.6508848,276.208044,10.9,No,12.1032258,10.5029971,1.39354839,0.59354839,86.598725,26.8,37.3047319,36.375948,38.2546518,14.4,15.4,13.6,91.1,138.8,33.5,19.4258268,4.42011979,4.5674365,8.30853742,17.4447576,34.2,7.5,30.8,53.7238728,15.1832943,11.9923666,4863,42,37,79.42,16.0193897,0.0001801,Unreliable,0.0002146,21.27272727,20.70666667,20.01,3/26/20,4/4/20,0,0,1
Colbert,Alabama,AL,34.69847,-87.8017,"33,835",21,11,1,54762,20.7625726,19.9298784,15.99832,0.66286841,0.58982506,0.0749,2.67521274,78.3974289,0.3404868,52.048866,43.8946866,91.8,43.5,16312.01,"2,755,838",,16.7,10.7,1557:01:00,2190:01:00,2882:01:00,92.1367521,54.6654389,4.61776593,21,4.75820092,36.0547755,16.8807339,400.007357,10.7,No,13.7299254,12.7539555,0.67857951,0.85953404,90.2147323,27.6,36.950783,35.9839161,37.9131401,13.5,14.2,13,78.1,92.1,32.7,20.9144544,4.60863763,4.5824059,10.2267469,18.6588211,30.6,7.4,36.6,55.7323437,14.6975929,9.68386253,6414,40,45,80.43,18.7134503,0.00023857,38.3477594,0.00037555,16.25294118,15.17096774,15.97619048,3/25/20,4/4/20,0,0,1
Conecuh,Alabama,AL,31.43402,-86.9932,"33,835",13,5,0,12277,20.7705466,22.4973528,45.6626212,0.51315468,0.21177812,0.0326,2.15036247,50.3054492,0,52.0974179,80.9495011,15.6,8.3,18969.49,"449,646",,28.1,10.3,2494:01:00,6139:01:00,1535:01:00,80.3738318,36.2637363,5.22919448,40.1,4.45220358,50.7564297,7.21790039,387.409201,10.3,No,13.3595285,10.9225875,2.043222,2.1611002,89.4478844,33.5,42.320373,41.3434201,43.2586561,23.7,25.9,21.7,117.4,363.2,39.4,28.6087478,5.43375281,5.39148796,14.0641158,21.107513,43,5.6,40.7,37.0199577,12.0427076,12.0334553,12070,35,44,76.4,20.7699221,6.43E-05,NA,NA,20.93636364,20.48695652,19.01538462,4/2/20,4/4/20,0,0,1
Coosa,Alabama,AL,32.9369,-86.2485,"33,835",20,18,1,10715,16.5842277,23.1544564,30.4713019,0.59729351,0.13999067,0.1679888,2.51983201,65.3849743,0.36145724,49.6126925,100,17.7,10,18401.97,"177,103",,17.5,11,NA,NA,10715:1,82.7160494,42.8689541,4.18190128,30.1,4.43436422,39.5135135,10.2287521,254.832195,11,Yes,14.6254459,11.4320096,1.6646849,2.02140309,83.979975,40.6,36.809372,35.806974,37.806728,17.9,19.5,16.2,77.4,113.6,40.8,24.9191033,5.08901632,5.10211912,13.6923077,20.3999656,40.3,6.9,35.3,6.42170032,12.6705403,13.0262014,4956,39,39,78.67,19.889239,5.26E-05,NA,NA,17.97058824,17.41,16.765,3/26/20,4/4/20,0,0,1
Covington,Alabama,AL,31.24779,-86.4505,"33,835",19,16,0,36986,21.8704375,21.0620235,12.4425458,0.69215379,0.46504083,0.0108,1.74931055,83.1882334,0.3663836,51.6141243,69.651794,36.6,18.3,19127.55,"1,146,899",,19.6,10.5,1952:01:00,2642:01:00,1541:01:00,94.9029126,53.6105815,4.57834411,29.5,4.9163307,36.3443013,12.6711959,331.121425,10.5,No,12.8458498,10.3668798,1.58102767,1.31752306,87.5246448,28.5,35.9124488,34.901247,36.9570302,12.9,14.1,11.8,115.4,273.7,33.9,22.6688063,4.68194045,4.90655091,10.3459425,19.2494515,31.7,7.6,35.5,50.234344,13.5003022,12.1036177,9181,42,39,74.47,20.9465157,0.00018361,Unreliable,0.00025037,21.30555556,20.65862069,19.82105263,3/27/20,4/4/20,0,0,1
Crenshaw,Alabama,AL,31.72942,-86.3159,"33,835",19,3,0,13824,22.8587963,19.0176505,23.2204861,0.62934028,1.12123843,0.0434,2.31481482,70.9490741,1.16225723,51.7216435,100,22.8,11.1,18907.8,"408,219",,20.5,10.7,6936:01:00,6912:01:00,1728:01:00,89.0804598,44.9078271,4.08066053,30.8,5.49026103,40.5859118,10.0929998,331.907361,10.7,No,9.95391705,9.02255639,0.71889401,0.3686636,81.7299047,41.4,37.5518614,36.5364127,38.6250275,16.3,18.4,14.4,110.4,207.2,38.7,22.1469362,4.74145604,4.89521372,10.0872939,18.6469296,38,6.2,33.5,22.3500647,14.6170099,12.267525,7057,37,36,107.91,16.6123755,5.38E-05,NA,NA,19.79090909,19.6862069,18.74736842,3/27/20,4/4/20,0,0,1
Cullman,Alabama,AL,34.1302,-86.8689,"33,835",25,40,1,83442,22.4790873,18.5110616,1.20562786,0.64595767,0.67232329,0.0863,4.43301934,91.8554205,0.57801226,50.5704561,73.2395592,109.4,50.4,16748.51,"2,548,547",,14.9,11.6,1799:01:00,2035:01:00,738:01:00,90.5198777,50.37849,3.28046524,19.7,4.43558471,25.4175308,11.7213461,129.392286,11.6,No,12.3069498,10.1442069,1.75353925,1.20656371,87.5688747,32.9,35.3742665,34.0928201,36.4893391,17.2,19.4,15.1,77.5,209.5,34.7,21.7864937,4.68142137,4.88760234,8.32852194,17.9010712,36.9,8.2,36.7,41.6536079,14.8871815,12.6582468,6442,44,41,89.78,16.0271961,0.00029938,26.3656192,0.00039343,15.875,15.67714286,15.448,3/21/20,4/4/20,0,0,1
Dale,Alabama,AL,31.43037,-85.611,"33,835",13,12,0,48956,22.9736907,16.89272,20.4510172,0.80071901,1.41964213,0.21243566,6.63861427,68.3675137,1.00165131,50.929406,50.8885395,89.6,40.4,18949.4,"2,505,314",,20.6,11,5470:01:00,2880:01:00,1064:01:00,90.3162055,57.6495132,4.20477137,24.4,5.06309936,32.7750353,10.5635233,436.721419,11,No,13.6206438,12.232747,1.46315509,0.6650705,85.6780167,24.8,40.8458477,39.9309751,41.7317735,14.4,15.1,13.9,80.7,227.4,37.6,23.433107,5.02126402,4.7960909,8.47679233,20.0573949,37.2,6.7,32,46.3871366,14.5379614,9.69886392,5120,42,41,84.85,19.2977245,0.00022337,Unreliable,0.00019672,20.93636364,20.48695652,19.01538462,4/2/20,4/4/20,0,0,1
Dallas,Alabama,AL,32.32688,-87.1087,"33,835",21,17,0,38310,23.8084051,18.0657792,70.0574263,0.28974158,0.58209345,0.0444,1.11198121,27.1808927,0.11184491,53.8371183,45.6389776,44.8,20.6,18406.45,"1,174,931",,35.4,11.1,1352:01:00,3193:01:00,1666:01:00,86.1932939,50.6736773,6.54777927,48,6.05890557,67.9570559,11.9852097,924.561168,11.1,No,20.9937888,17.6082741,4.44099379,1.64596273,86.3769566,26.6,42.3243532,41.3106699,43.2420769,13.9,13.4,14.3,136.3,291.1,42.4,29.8268978,5.62687798,5.59111289,13.9423077,24.088991,43.1,4.6,26.9,59.637152,11.3382565,10.3724077,7183,40,34,65.59,15.7848104,0.00016022,NA,NA,18.81538462,18.09354839,17.47142857,3/25/20,4/4/20,0,0,1
DeKalb,Alabama,AL,34.45947,-85.8078,"33,835",20,29,0,71385,24.0778875,17.2613294,1.44848358,2.0298382,0.51551446,0.64019052,14.8420537,80.1274778,3.50565356,50.370526,90.1306445,91.5,40,16377.8,"1,768,414",,20.5,11.3,2387:01:00,3569:01:00,3757:01:00,92.7429274,45.800443,3.81692058,29.6,4.79361896,33.876822,8.51753075,312.330688,11.3,No,11.0842402,8.18884479,2.88190246,0.74566707,85.6637419,31.5,35.8159216,34.7316592,36.8639857,11.2,12.8,9.8,95.4,126.5,30.5,25.9589815,5.26770814,5.00440558,8.29485206,21.0282708,29.2,8.2,31.7,45.0378996,12.4582495,17.3190339,5868,32,40,101.83,18.3216632,0.00029587,Unreliable,0.00026825,15.18888889,14.72,14.93,3/26/20,4/4/20,0,0,1
Elmore,Alabama,AL,32.59785,-86.1442,"33,835",32,43,0,81887,22.2391833,15.1428188,21.2146006,0.5190079,0.70951433,0.11601353,3.01268822,72.99205,0.66556828,51.6589935,54.1883661,128.2,52.8,18478.07,"1,694,188",,13.5,11.9,3889:01:00,6299:01:00,5849:01:00,86.1572536,54.7268813,3.4475346,16.3,4.38296843,31.288884,10.8965804,238.676664,11.9,No,11.3707165,9.71709717,1.14226376,0.76150917,86.742898,46.1,38.4243262,37.4114789,39.3497846,14.9,16.9,13.1,72,194.8,36.1,18.6338628,4.29620968,4.66360684,9.23896499,17.4525019,34.3,7.6,26.4,51.7307038,15.8529002,8.65571645,6334,43,39,91.25,14.0966145,0.00025027,Unreliable,0.0002146,19.62413793,18.96428571,19.95,3/14/20,4/4/20,0,0,1
Escambia,Alabama,AL,31.12568,-87.1592,"33,835",18,10,0,36748,22.365843,17.9492762,31.4030696,3.87231958,0.30477849,0.0626,2.46816153,60.1556547,0.48855309,49.3088059,63.5115739,40.5,17.4,18768.34,"1,172,006",,23.3,10.2,2881:01:00,2625:01:00,1750:01:00,87.7922078,37.5306623,4.57079153,32.8,5.51815579,46.045438,14.4203808,446.245316,10.2,No,11.8212043,9.59937767,2.29035833,1.1082379,91.5576298,29,39.7483296,38.8584043,40.660987,17.1,18.1,16.1,132.7,557.6,38.6,26.0548919,5.21940294,5.18549766,9.45062132,22.4125846,39.4,6.6,32.4,48.1301704,12.9751684,14.4283449,7412,34,35,67.63,19.0062879,0.0001684,NA,NA,21.3,20.63571429,19.55555556,3/28/20,4/4/20,0,0,1
Etowah,Alabama,AL,34.04567,-86.0405,"33,835",20,78,7,102501,21.4602784,19.0115218,15.4837514,0.60877455,0.8312114,0.31024088,4.01557058,77.6860714,1.2187841,51.5585214,37.4834818,195.2,88.7,17058.36,"2,803,470",,17.5,11.5,1238:01:00,1934:01:00,827:01:00,90.2720528,55.2342533,4.10246891,28.8,4.7114964,37.2664879,15.7656562,603.96262,11.5,No,11.222166,9.48464208,1.6194332,0.5187247,85.4836758,28.6,40.8355939,39.8702428,41.7717001,13.5,14.6,12.5,121.3,135.6,36.4,21.4838641,4.91902169,4.8363139,9.0078172,20.1473986,35.5,7.1,34.1,49.4943982,14.0305305,12.4659957,7421,29,36,97.44,23.574492,0.0005707,Unreliable,0.00030402,17.43333333,16.36333333,16.16,3/26/20,4/4/20,0,0,1
Fayette,Alabama,AL,33.72077,-87.7389,"33,835",16,4,0,16433,21.1282176,21.1282176,11.8541958,0.46856934,0.43814276,0,1.80733889,84.1538368,0,51.1775087,80.2331651,27.5,13.4,17560.76,"331,837",,20.3,10.6,1029:01:00,3287:01:00,8217:01:00,91.8032787,52.3317435,4.11909904,37.4,4.9304376,36.0839563,7.89409764,NA,10.6,Yes,12.3357664,10.4126609,1.38686131,1.02189781,85.8799238,40.6,38.915262,37.7963047,40.0383483,21,25,17.3,103.5,211.6,38.4,22.1993439,4.92753119,4.97614028,10.0404858,18.0015933,41,7.9,33.7,34.1627516,13.5185239,11.4599564,5911,36,45,86.07,15.4542254,6.32E-05,NA,NA,13.26,15.54230769,14.35625,3/30/20,4/4/20,0,0,1
Franklin,Alabama,AL,34.44235,-87.8429,"33,835",23,12,1,31363,24.5352804,16.8861397,3.88355706,1.54640819,0.34116634,0.2487007,17.7502152,76.1757485,5.13326752,49.5488314,70.3665153,50,22.1,16434.79,"886,031",,20.1,10.5,2250:01:00,3920:01:00,10454:1,92.1052632,41.0671689,3.731606,30.1,4.40144833,42.2779923,9.52532148,264.234436,10.5,No,12.954254,8.60026327,4.10431809,0.94057289,83.2119646,37.6,38.4206678,37.3264478,39.5174507,13.3,14.8,11.9,78.5,160.7,33.2,25.3680215,5.21658795,5.18201355,9.9458728,19.250583,34.3,7.9,38.1,58.1472369,13.3736523,15.3034504,8122,32,38,104.32,18.1839353,0.00013332,NA,NA,16,15.59090909,15.84347826,3/23/20,4/4/20,0,0,1
Geneva,Alabama,AL,31.09389,-85.8357,"33,835",1,1,0,26314,21.9198906,20.2971802,9.31443338,1.02606977,0.34202326,0.0722,4.04347496,83.6816904,0.58292741,51.1818804,89.6416573,46.6,22.1,19379.02,"519,624",,20.9,10.6,3303:01:00,13157:1,5263:01:00,90.2877698,43.3568731,3.92590545,29.5,4.981862,40.8652189,8.70519662,413.571121,10.6,No,10.1830127,8.50310856,1.68934772,0.51618958,83.6798547,40.5,36.9211458,35.8478237,38.0316039,14.3,15.6,13.2,129.5,258.6,38.8,23.0846693,5.02050315,5.01390625,8.09108527,20.0036033,38.7,7.8,36.8,20.2053005,13.7221396,14.072729,6845,39,46,78.8,20.9159275,0.00012864,Unreliable,0.00019672,,19.28235294,18.52857143,,4/4/20,1,0,0
Greene,Alabama,AL,32.85504,-87.9568,"33,835",19,18,0,8233,22.1668894,22.3126442,79.6064618,0.3279485,0.2672173,0,1.66403498,17.5270254,0,52.7875623,100,14,7.7,18276.44,"235,854",,34,10.5,2083:01:00,8233:01:00,8233:01:00,77.5280899,50.282167,6.73009161,44,5.87781489,77.0027248,9.60384154,669.344043,10.5,No,19.3236715,16.2711864,3.22061192,2.54428341,82.2141561,42.2,45.2354527,43.9418013,46.4735047,11.3,11.3,11.5,52.9,142.4,42.4,33.9851556,5.93478765,5.4635015,14.8629149,24.6328187,35.5,3.2,18.3,6.22443339,9.57157596,11.4463453,7121,34,30,57.38,Unreliable,2.11E-05,NA,NA,19,18.05517241,17.08947368,3/27/20,4/4/20,0,0,1
